,Akt,AP1,apoptosis,ASK1,Bad,Bax,Bcl2,Bcl2t,Bim,CAD,cas3,cas9,cellDeath,CREB,cytc,DNAfrag,EGF,EGFR,ERBB,ERK12,FGF,FGFR,FLT3,FLT3L,iCAD,iCADt,IGF1,IGF1R,IkB,IKK,JAK,JNK,KIT,LRP1,LRP1ag,MEK12,MEK36,MEK47,MOMP,NFkB,NOX,Noxa,NRG1,p38,p53,PARP,PDGF,PDGFR,PDK1,PI3K,PKC,PUMA,Raf,Ras,ROS,RSK,SCF,Shc1,Shp2,Smac,Src,STAT,Trx,Trxt,VEGF,VEGFR,xIAP,xIAPt
Akt,-0.9599884931955345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004405975174702315,-0.004405975174702315,-0.004405975174702315,0.0,-0.004405975174702315,-0.004405975174702315,-0.004405975174702315,-0.004405975174702315,0.0,0.0,-0.004405975174702315,-0.004405975174702315,0.0,0.0,0.0,0.0,-0.004405975174702315,-0.36069589923456247,-0.36069589923456247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004405975174702315,0.0,0.0,0.0,-0.0034042764635143774,-0.0034042764635143774,-0.9599884931955345,-0.9599884931955345,-0.04942731752420382,0.0,0.0,0.0,0.0,0.0,-0.004405975174702315,-0.04942731752420382,-0.0375136347413485,0.0,-0.1623950351612612,0.0,0.0,0.0,-0.004405975174702315,-0.004405975174702315,0.0,0.0
AP1,0.32949124578971667,-0.3251134124027747,0.0,-0.3251134124027747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001413558624170419,0.001413558624170419,0.001413558624170419,0.0,0.001413558624170419,0.001413558624170419,0.001413558624170419,0.001413558624170419,0.0,0.0,0.001413558624170419,0.001413558624170419,0.0,0.0,0.0,-0.3251134124027747,0.001413558624170419,0.12890052652574435,0.12890052652574435,0.0,0.0,-0.3251134124027747,0.0,0.0,0.0,0.0,0.001413558624170419,0.0,0.0,0.0,0.0010917868401200126,0.0010917868401200126,0.32949124578971667,0.32949124578971667,0.016115720146497647,0.0,0.0,0.0,-0.3251134124027747,0.0,0.001413558624170419,0.016115720146497647,0.012179817332194032,0.0,0.05498523558619611,0.0,0.6748865875972251,0.6748865875972251,0.001413558624170419,0.001413558624170419,0.0,0.0
apoptosis,0.8984637499873016,-0.10151435478854895,-0.10151435478854895,-0.10151435478854895,-0.006090655313507151,-0.10151435478854895,0.898485645211451,0.898485645211451,-0.006091188612209281,-0.10151435478854895,-0.10151435478854895,-0.09952703610645222,-0.00012565079332199636,0.00021799130991687066,-0.08347186846622398,-0.10151435478854895,0.008904496557136363,0.008904496557136363,0.008904496557136363,0.00021799130991687066,0.008904496557136363,0.008904496557136363,0.008904496557136363,0.008904496557136363,0.2660849181602215,0.2660849181602215,0.008904496557136363,0.008904496557136363,-1.5739695702760015e-06,0.00048183944651486454,8.706305089145605e-06,-0.10151435478854895,0.008904496557136363,0.8460480293408585,0.8460482354880364,0.00021799130991687066,-0.0026101272889832577,-0.10151435478854895,-0.10151435478854895,0.00048183944651486454,2.0790444774515526e-06,-0.006090198357891083,0.008904496557136363,-0.0026101272889832577,-0.10151435478854895,0.24732052306562377,0.006837616112966058,0.006837616112966058,0.8984637499873016,0.8984637499873016,0.1264215224593136,-0.006090198357891083,0.00021799130991687066,0.00021799130991687066,-0.10151435478854895,0.00021799130991687066,0.008904496557136363,0.12641800181181143,0.09095128306618225,-0.10051353307722721,0.5098509758860537,8.706305089145605e-06,0.898485645211451,0.898485645211451,0.008904496557136363,0.008904496557136363,0.898485645211451,0.898485645211451
ASK1,0.23324159986893162,0.0,0.0,-0.3824869327764117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009360303432053296,0.0009360303432053296,0.0009360303432053296,0.0,0.0009360303432053296,0.0009360303432053296,0.0009360303432053296,0.0009360303432053296,0.0,0.0,0.0009360303432053296,0.0009360303432053296,0.0,0.0,0.0,0.0,0.0009360303432053296,0.08585653333682625,0.08585653333682625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009360303432053296,0.0,0.0,0.0,0.000722977292225313,0.000722977292225313,0.23324159986893162,0.23324159986893162,0.01066202412407724,0.0,0.0,0.0,-0.3824869327764117,0.0,0.0009360303432053296,0.01066202412407724,0.008059621698334962,0.0,0.03636861894521648,0.0,0.6175130672235882,0.6175130672235882,0.0009360303432053296,0.0009360303432053296,0.0,0.0
Bad,0.6515006710320244,0.0,0.0,-0.31384770453954985,-0.3484993289679756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003973661316169108,0.003973661316169108,0.003973661316169108,0.0,0.003973661316169108,0.003973661316169108,0.003973661316169108,0.003973661316169108,0.0,0.0,0.003973661316169108,0.003973661316169108,0.0,0.0,0.0,-0.31384770453954985,0.003973661316169108,0.3184478660795463,0.3184478660795463,0.0,0.0,-0.31384770453954985,0.0,0.0,0.0,0.0,0.003973661316169108,0.0,0.0,0.0,0.003070139612763867,0.003070139612763867,0.6515006710320244,0.6515006710320244,0.04462775769244959,0.0,0.0,0.0,-0.31384770453954985,0.0,0.003973661316169108,0.04462775769244959,0.033863968319813864,0.0,0.1463897493105391,0.0,0.6515006710320244,0.6515006710320244,0.003973661316169108,0.003973661316169108,0.0,0.0
Bax,0.5825787364660981,-0.2703046401371448,0.0,-0.27030464037888546,-0.002132273630867987,-0.28368139411760573,0.7163186058823942,0.7163186058823942,-0.0021324639720216587,0.0,0.0,0.0,0.0,7.364478596116886e-05,0.0,0.0,0.0029748955398911092,0.0029748955398911092,0.0029748955398911092,7.364478596116886e-05,0.0029748955398911092,0.0029748955398911092,0.0029748955398911092,0.0029748955398911092,0.0,0.0,0.0029748955398911092,0.0029748955398911092,-1.653768548048884e-06,0.00016399493412955213,1.8740710537867855e-06,-0.27030464037888435,0.0029748955398911092,0.2646584208967405,0.2646584208967405,7.364478596116886e-05,-0.0009042014667078324,-0.27030464037888435,0.0,0.00016399493412955213,0.0,-0.0021321105380834315,0.0029748955398911092,-0.0009042014667078324,-0.2703046401371448,0.0,0.002297748989654791,0.002297748989654791,0.5825787364660981,0.5825787364660981,0.03380184289268001,-0.0021321105380834315,7.364478596116886e-05,7.364478596116886e-05,-0.2836813941176055,7.364478596116886e-05,0.0029748955398911092,0.03380184289268001,0.025567911099454665,0.0,0.11438976754963648,1.8740710537867855e-06,0.7163186058823942,0.7163186058823942,0.0029748955398911092,0.0029748955398911092,0.0,0.0
Bcl2,-0.3212102754141922,0.003471130369548936,0.0,0.003471130656398147,0.0034703985744670707,0.0,-0.9965288693436017,-0.9965288693436017,0.00347070873767652,0.0,0.0,0.0,0.0,-0.00011971257394349788,0.0,0.0,-0.00015075614979254137,-0.00015075614979254137,-0.00015075614979254137,-0.00011971257394349788,-0.00015075614979254137,-0.00015075614979254137,-0.00015075614979254137,-0.00015075614979254137,0.0,0.0,-0.00015075614979254137,-0.00015075614979254137,2.688381223969749e-06,-0.0002665668673317301,-3.046500950509845e-06,0.0034711306563965927,-0.00015075614979254137,-0.05290438363889427,-0.05290438363889427,-0.00011971257394349788,0.001470623681267269,0.0034711306563965927,0.0,-0.0002665668673317301,0.0,0.0034701328128572406,-0.00015075614979254137,0.001470623681267269,0.003471130369548936,0.0,-0.00011579758643454063,-0.00011579758643454063,-0.3212102754141922,-0.3212102754141922,-0.0020269802397077097,0.0034701328128572406,-0.00011971257394349788,-0.00011971257394349788,0.003471130656398147,-0.00011971257394349788,-0.00015075614979254137,-0.0020269802397077097,-0.0014633580400137403,0.0,-0.010661729907188389,-3.046500950509845e-06,-0.9965288693436006,-0.9965288693436006,-0.00015075614979254137,-0.00015075614979254137,0.0,0.0
Bcl2t,-0.007755473586269712,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999192683464917,0.0,0.0,0.0,0.0,0.0,-0.0035427481164952423,0.0,0.0,-3.8232156862716415e-05,-3.8232156862716415e-05,-3.8232156862716415e-05,-0.0035427481164952423,-3.8232156862716415e-05,-3.8232156862716415e-05,-3.8232156862716415e-05,-3.8232156862716415e-05,0.0,0.0,-3.8232156862716415e-05,-3.8232156862716415e-05,8.073165350830358e-05,-0.007755473586269712,-9.142242475224105e-05,0.0,-3.8232156862716415e-05,-0.0397084316554005,-0.0397084316554005,-0.0035427481164952423,0.0,0.0,0.0,-0.007755473586269712,0.0,0.0,-3.8232156862716415e-05,0.0,0.0,0.0,-2.302960042133151e-05,-2.302960042133151e-05,-0.007755473586269712,-0.007755473586269712,-0.0005349155620484325,0.0,-0.0035427481164952423,-0.0035427481164952423,0.0,-0.0035427481164952423,-3.8232156862716415e-05,-0.0005349155620484325,-0.00031297975865218763,0.0,-0.0054555257385794365,-9.142242475224105e-05,0.0,0.0,-3.8232156862716415e-05,-3.8232156862716415e-05,0.0,0.0
Bim,0.4396890646901055,0.0,0.0,-0.5256593108814688,0.0,0.0,0.0,0.0,-0.5603109353098945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003597088114903668,0.003597088114903668,0.003597088114903668,0.0,0.003597088114903668,0.003597088114903668,0.003597088114903668,0.003597088114903668,0.0,0.0,0.003597088114903668,0.003597088114903668,0.0,0.0,0.0,-0.21181160634191892,0.003597088114903668,0.25784687558529384,0.25784687558529384,0.0,-0.21181160634191892,-0.21181160634191892,0.0,0.0,0.0,0.0,0.003597088114903668,-0.21181160634191892,0.0,0.0,0.0027799439676409188,0.0027799439676409188,0.4396890646901055,0.4396890646901055,0.039898869137043436,0.0,0.0,0.0,-0.5256593108814688,0.0,0.003597088114903668,0.039898869137043436,0.030377040238553144,0.0,0.1265701213994197,0.0,0.4396890646901054,0.4396890646901054,0.003597088114903668,0.003597088114903668,0.0,0.0
CAD,0.6160439372379117,-0.3839405969466204,2.0997305005820976e-09,-0.3839405969467381,-0.00793499865140701,-0.383942238159677,0.616057761840323,0.616057761840323,-0.00793570590092696,-0.383942238159677,-0.383942238159677,-0.272246744175193,-4.8384775630516685e-09,0.0002744738533367874,-0.16413629395493134,2.0997305005820976e-09,0.011106542439059064,0.011106542439059064,0.011106542439059064,0.0002744738533367874,0.011106542439059064,0.011106542439059064,0.011106542439059064,0.011106542439059064,0.616057761840323,0.616057761840323,0.011106542439059064,0.011106542439059064,-6.161143165650529e-06,0.0006112414324943582,6.986379034956691e-06,-0.3839405969467381,0.011106542439059064,0.5833003106565158,0.5833003106649663,0.0002744738533367874,-0.0033677536839346045,-0.3839405969467381,-0.383942238159677,0.0006112414324943582,2.0680157031272017e-09,-0.007934392648333288,0.011106542439059064,-0.0033677536839346045,-0.3839405969466204,2.0997305005820976e-09,0.008575216307289302,0.008575216307289302,0.6160439372379117,0.6160439372379117,0.1264362783138795,-0.007934392648333288,0.0002744738533367874,0.0002744738533367874,-0.383942238159677,0.0002744738533367874,0.011106542439059064,0.12643627820701198,0.09586284146046564,-0.29315969377533,0.38221119116469426,6.986379034956691e-06,0.616057761840323,0.616057761840323,0.011106542439059064,0.011106542439059064,0.616057761840323,0.616057761840323
