,Akt,AP1,apoptosis,ASK1,Bad,Bax,Bcl2,Bcl2t,Bim,CAD,cas3,cas9,cellDeath,CREB,cytc,DNAfrag,EGF,EGFR,ERBB,ERK12,FGF,FGFR,FLT3,FLT3L,iCAD,iCADt,IGF1,IGF1R,IkB,IKK,JAK,JNK,KIT,LRP1,LRP1ag,MEK12,MEK36,MEK47,MOMP,NFkB,NOX,Noxa,NRG1,p38,p53,PARP,PDGF,PDGFR,PDK1,PI3K,PKC,PUMA,Raf,Ras,ROS,RSK,SCF,Shc1,Shp2,Smac,Src,STAT,Trx,Trxt,VEGF,VEGFR,xIAP,xIAPt
Akt,-0.599292593960972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05417625948992921,-0.05417625948992921,-0.05417625948992921,0.0,-0.05417625948992921,-0.05417625948992921,-0.05417625948992921,-0.05417625948992921,0.0,0.0,-0.05417625948992921,-0.05417625948992921,0.0,0.0,0.0,0.0,-0.05417625948992921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05417625948992921,0.0,0.0,0.0,-0.09134325563173962,-0.09134325563173962,-0.599292593960972,-0.599292593960972,0.0,0.0,0.0,0.0,0.0,0.0,-0.05417625948992921,0.0,0.0,0.0,-0.03241855601191668,0.0,0.0,0.0,-0.05417625948992921,-0.05417625948992921,0.0,0.0
AP1,0.20059071926397232,-0.45401393892851905,0.0,-0.45401393892851905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021046049648605403,0.021046049648605403,0.021046049648605403,0.0,0.021046049648605403,0.021046049648605403,0.021046049648605403,0.021046049648605403,0.0,0.0,0.021046049648605403,0.021046049648605403,0.0,0.0,0.0,-0.45401393892851905,0.021046049648605403,0.0,0.0,0.0,0.0,-0.45401393892851905,0.0,0.0,0.0,0.0,0.021046049648605403,0.0,0.0,0.0,0.035582563069296635,0.035582563069296635,0.20059071926397232,0.20059071926397232,0.0,0.0,0.0,0.0,-0.45401393892851905,0.0,0.021046049648605403,0.0,0.0,0.0,0.012567654598941713,0.0,0.545986061071481,0.545986061071481,0.021046049648605403,0.021046049648605403,0.0,0.0
apoptosis,0.052425173772118416,-0.9474984664754704,-0.9475603459212634,-0.9474997741949864,-0.02104025630205053,-0.9475603459212634,0.05243965407873663,0.05243965407873663,-0.021258753106420558,-0.9475603459212634,-0.9475603459212634,-0.6043059982305946,-1.3026671885629781e-07,0.005844928805315952,-0.14294306055688555,-0.9475603459212634,0.02641432590068238,0.02641432590068238,0.02641432590068238,0.005844928805315952,0.02641432590068238,0.02641432590068238,0.02641432590068238,0.02641432590068238,0.02414107506765384,0.02414107506765384,0.02641432590068238,0.02641432590068238,-0.0027756891368065917,0.005984570859164262,0.004068483962788361,-0.9474997547474584,0.02641432590068238,2.2443553220341528e-06,2.2443553220341528e-06,0.005844928805315952,-0.003472844193418645,-0.9474997547474584,-0.9475603459212634,0.005984570859164262,2.2443553220341528e-06,-0.02037880403191672,0.02641432590068238,-0.003472844193418645,-0.9474984664754704,0.028030532025938304,0.03689845712863926,0.03689845712863926,0.052425173772118416,0.052425173772118416,2.2443553220341528e-06,-0.02037880403191672,0.005844928805315952,0.005844928805315952,-0.9475603459212634,0.005844928805315952,0.02641432590068238,2.2443553220341528e-06,2.2443553220341528e-06,-0.6069766080942931,0.017395920376243268,0.004068483962788361,0.05243965407873663,0.05243965407873663,0.02641432590068238,0.02641432590068238,0.05243965407873663,0.05243965407873663
ASK1,0.14738506653210537,0.0,0.0,-0.46834346611323796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014379908609225334,0.014379908609225334,0.014379908609225334,0.0,0.014379908609225334,0.014379908609225334,0.014379908609225334,0.014379908609225334,0.0,0.0,0.014379908609225334,0.014379908609225334,0.0,0.0,0.0,0.0,0.014379908609225334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014379908609225334,0.0,0.0,0.0,0.024415898911557765,0.024415898911557765,0.14738506653210537,0.14738506653210537,0.0,0.0,0.0,0.0,-0.46834346611323796,0.0,0.014379908609225334,0.0,0.0,0.0,0.008566822944330754,0.0,0.531656533886762,0.531656533886762,0.014379908609225334,0.014379908609225334,0.0,0.0
Bad,0.33305280495247813,0.0,0.0,-0.2769495901615512,-0.6669471950475219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04408050272990982,0.04408050272990982,0.04408050272990982,0.0,0.04408050272990982,0.04408050272990982,0.04408050272990982,0.04408050272990982,0.0,0.0,0.04408050272990982,0.04408050272990982,0.0,0.0,0.0,-0.2769495901615512,0.04408050272990982,0.0,0.0,0.0,0.0,-0.2769495901615512,0.0,0.0,0.0,0.0,0.04408050272990982,0.0,0.0,0.0,0.07328343930031078,0.07328343930031078,0.33305280495247813,0.33305280495247813,0.0,0.0,0.0,0.0,-0.2769495901615512,0.0,0.04408050272990982,0.0,0.0,0.0,0.026579535645768093,0.0,0.33305280495247813,0.33305280495247813,0.04408050272990982,0.04408050272990982,0.0,0.0
Bax,0.32700007796084396,-0.39754958042527466,0.0,-0.39778227610583006,-0.02218308780911804,-0.5483398150143463,0.45166018498565375,0.45166018498565375,-0.022382520123179983,0.0,0.0,0.0,0.0,0.007545477408347434,0.0,0.0,0.04320865302400412,0.04320865302400412,0.04320865302400412,0.007545477408347434,0.04320865302400412,0.04320865302400412,0.04320865302400412,0.04320865302400412,0.0,0.0,0.04320865302400412,0.04320865302400412,-0.0033358066521468333,0.007735830090136564,0.005166599992230125,-0.39777878222352103,0.04320865302400412,0.0,0.0,0.007545477408347434,-0.0041491955916642675,-0.39777878222352103,0.0,0.007735830090136564,0.0,-0.021576182433863278,0.04320865302400412,-0.0041491955916642675,-0.39754958042527466,0.0,0.07274740047720762,0.07274740047720762,0.32700007796084396,0.32700007796084396,0.0,-0.021576182433863278,0.007545477408347434,0.007545477408347434,-0.5483343325819681,0.007545477408347434,0.04320865302400412,0.0,0.0,0.0,0.02530548774600705,0.005166599992230125,0.45166018498565375,0.45166018498565375,0.04320865302400412,0.04320865302400412,0.0,0.0
Bcl2,-0.31262780647108446,0.05604842687207545,0.0,0.05636909588567607,0.053573590560817896,0.0,-0.9436244857047075,-0.9436244857047075,0.05406427992641161,0.0,0.0,0.0,0.0,-0.017787120507831378,0.0,0.0,-0.02433598112002522,-0.02433598112002522,-0.02433598112002522,-0.017787120507831378,-0.02433598112002522,-0.02433598112002522,-0.02433598112002522,-0.02433598112002522,0.0,0.0,-0.02433598112002522,-0.02433598112002522,0.007932176946291558,-0.018233103755121216,-0.012202288772983794,0.05636428057421172,-0.02433598112002522,0.0,0.0,-0.017787120507831378,0.009872811670142978,0.05636428057421172,0.0,-0.018233103755121216,0.0,0.052081364588612566,-0.02433598112002522,0.009872811670142978,0.05604842687207545,0.0,-0.044358245326109214,-0.044358245326109214,-0.31262780647108446,-0.31262780647108446,0.0,0.052081364588612566,-0.017787120507831378,-0.017787120507831378,0.05636909588567607,-0.017787120507831378,-0.02433598112002522,0.0,0.0,0.0,-0.012533987897017096,-0.012202288772983794,-0.9436244857047075,-0.9436244857047075,-0.02433598112002522,-0.02433598112002522,0.0,0.0
Bcl2t,-0.07471050998662043,0.0,0.0,0.0,0.0,0.0,0.0,-0.9602108366910912,0.0,0.0,0.0,0.0,0.0,-0.07309578523298887,0.0,0.0,-0.028163979464995825,-0.028163979464995825,-0.028163979464995825,-0.07309578523298887,-0.028163979464995825,-0.028163979464995825,-0.028163979464995825,-0.028163979464995825,0.0,0.0,-0.028163979464995825,-0.028163979464995825,0.039789163308908804,-0.07471050998662043,-0.052075944754571335,0.0,-0.028163979464995825,0.0,0.0,-0.07309578523298887,0.0,0.0,0.0,-0.07471050998662043,0.0,0.0,-0.028163979464995825,0.0,0.0,0.0,-0.047816535112569336,-0.047816535112569336,-0.07471050998662043,-0.07471050998662043,0.0,0.0,-0.07309578523298887,-0.07309578523298887,0.0,-0.07309578523298887,-0.028163979464995825,0.0,0.0,0.0,-0.011274972812503559,-0.052075944754571335,0.0,0.0,-0.028163979464995825,-0.028163979464995825,0.0,0.0
Bim,0.18184218910481165,0.0,0.0,-0.42816020600921767,0.0,0.0,0.0,0.0,-0.8181578108951884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03014906547520213,0.03014906547520213,0.03014906547520213,0.0,0.03014906547520213,0.03014906547520213,0.03014906547520213,0.03014906547520213,0.0,0.0,0.03014906547520213,0.03014906547520213,0.0,0.0,0.0,-0.15121061584766649,0.03014906547520213,0.0,0.0,0.0,-0.15121061584766649,-0.15121061584766649,0.0,0.0,0.0,0.0,0.03014906547520213,-0.15121061584766649,0.0,0.0,0.049254996202136914,0.049254996202136914,0.18184218910481165,0.18184218910481165,0.0,0.0,0.0,0.0,-0.42816020600921767,0.0,0.03014906547520213,0.0,0.0,0.0,0.01836370616479721,0.0,0.18184218910481165,0.18184218910481165,0.03014906547520213,0.03014906547520213,0.0,0.0
CAD,0.03274830840806564,-0.9278459550158261,9.224276897867867e-11,-0.9280966096398265,-0.012967503941597402,-0.967242548739642,0.032757451260358006,0.032757451260358006,-0.013101651310193474,-0.967242548739642,-0.967242548739642,-0.3702005863363259,8.658540551209626e-11,0.003615966336425691,-0.08656792697632432,9.224276897867867e-11,0.01641405793057993,0.01641405793057993,0.01641405793057993,0.003615966336425691,0.01641405793057993,0.01641405793057993,0.01641405793057993,0.01641405793057993,0.032757451260358006,0.032757451260358006,0.01641405793057993,0.01641405793057993,-0.001718559574151901,0.003702516151552926,0.0025153172265653945,-0.9280928544773959,0.01641405793057993,8.500133930056109e-11,8.500133930056109e-11,0.003615966336425691,-0.0021492432257793626,-0.9280928544773959,-0.967242548739642,0.003702516151552926,8.500133930056109e-11,-0.01256134217493965,0.01641405793057993,-0.0021492432257793626,-0.9278459550158261,9.224276897867867e-11,0.022976862748717686,0.022976862748717686,0.03274830840806564,0.03274830840806564,8.500133930056109e-11,-0.01256134217493965,0.003615966336425691,0.003615966336425691,-0.967242548739642,0.003615966336425691,0.01641405793057993,8.500133930056109e-11,8.500133930056109e-11,-0.3720553109938177,0.010790504209842733,0.0025153172265653945,0.032757451260358006,0.032757451260358006,0.01641405793057993,0.01641405793057993,0.032757451260358006,0.032757451260358006
