Species_Name	T0	T30	change 
Akt	0	0.9953	0.9953
AP1	0	0.0384	0.0384
apoptosis	0	0	0
ASK1	0	0.1462	0.1462
Bad	0	0.0423	0.0423
Bax	0	0.0061	0.0061
Bcl2	0	1	1
Bcl2t	0	1	1
Bim	0	0.0791	0.0791
CAD	0	0	0
cas3	0	0	0
cas9	0	0	0
cellDeath	0	0	0
CREB	0	0.9971	0.9971
cytc	0	0.0001	0.0001
DNAfrag	0	0	0
EGF	0	0.175	0.175
EGFR	0	0.1353	0.1353
ERBB	0	0.1353	0.1353
ERK12	0	0.996	0.996
FGF	0	0.175	0.175
FGFR	0	0.1353	0.1353
FLT3	0	0.1353	0.1353
FLT3L	0	0.175	0.175
iCAD	0	1	1
iCADt	1	1	0
IGF1	0	0.175	0.175
IGF1R	0	0.1353	0.1353
IkB	0	0.0034	0.0034
IKK	0	0.996	0.996
JAK	0	0.5132	0.5132
JNK	0	0.0693	0.0693
KIT	0	0.1353	0.1353
LRP1	0	0.7168	0.7168
LRP1ag	0	0.7	0.7
MEK12	0	0.9953	0.9953
MEK36	0	0.1064	0.1064
MEK47	0	0.1064	0.1064
MOMP	0	0.0013	0.0013
NFkB	0	0.9994	0.9994
NOX	0	0	0
Noxa	0	0.0054	0.0054
NRG1	0	0.175	0.175
p38	0	0.0693	0.0693
p53	0	0.017	0.017
PARP	0	1	1
PDGF	0	0.175	0.175
PDGFR	0	0.0336	0.0336
PDK1	0	0.9945	0.9945
PI3K	0	0.9936	0.9936
PKC	0	0.734	0.734
PUMA	0	0.0054	0.0054
Raf	0	0.9945	0.9945
Ras	0	0.9936	0.9936
ROS	0	0.2	0.2
RSK	0	0.9966	0.9966
SCF	0	0.175	0.175
Shc1	0	0.7516	0.7516
Shp2	0	0.734	0.734
Smac	0	0.0001	0.0001
Src	0	0.9435	0.9435
STAT	0	0.5149	0.5149
Trx	0	0.8386	0.8386
Trxt	1	1	0
VEGF	0	0.175	0.175
VEGFR	0	0.1353	0.1353
xIAP	0	1	1
xIAPt	1	1	0
