Species_Name	T70	T140	change
Akt	0.5993	1	0.4007
AP1	0.454	0.3125	-0.1415
apoptosis	0.9476	0.0421	-0.9055
ASK1	0.4683	0.3741	-0.0942
Bad	0.6669	0.3125	-0.3544
Bax	0.5483	0.257	-0.2913
Bcl2	0.9436	0.9977	0.0541
Bcl2t	0.9602	1	0.0398
Bim	0.8182	0.5273	-0.2909
CAD	0.9672	0.2874	-0.6798
cas3	0.9295	0.3285	-0.601
cas9	0.8168	0.2597	-0.5571
cellDeath	0.9544	0.0193	-0.9351
CREB	0.6341	1	0.3659
cytc	0.5604	0.1864	-0.374
DNAfrag	0.9399	0.074	-0.8659
EGF	0.175	0.175	0
EGFR	0.1353	0.1353	0
ERBB	0.1353	0.1353	0
ERK12	0.61	1	0.39
FGF	0.175	0.175	0
FGFR	0.1353	0.1353	0
FLT3	0.1353	0.1353	0
FLT3L	0.175	0.175	0
iCAD	0.0617	0.6959	0.6342
iCADt	1	1	0
IGF1	0.175	0.175	0
IGF1R	0.1353	0.1353	0
IkB	0.3784	0	-0.3784
IKK	0.61	1	0.39
JAK	0.5536	0.5063	-0.0473
JNK	0.4594	0.3359	-0.1235
KIT	0.1353	0.1353	0
LRP1	0	1	1
LRP1ag	0	1	1
MEK12	0.5993	1	0.4007
MEK36	0.4642	0.3563	-0.1079
MEK47	0.4642	0.3563	-0.1079
MOMP	0.5541	0.2233	-0.3308
NFkB	0.6388	1	0.3612
NOX	0	0	0
Noxa	0.4408	0.2555	-0.1853
NRG1	0.175	0.175	0
p38	0.4594	0.3359	-0.1235
p53	0.4479	0.2858	-0.1621
PARP	0.0617	0.6959	0.6342
PDGF	0.175	0.175	0
PDGFR	0.1353	0	-0.1353
PDK1	0.5895	1	0.4105
PI3K	0.5805	1	0.4195
PKC	0	1	1
PUMA	0.4408	0.2555	-0.1853
Raf	0.5895	1	0.4105
Ras	0.5805	1	0.4195
ROS	0.4	0.4	0
RSK	0.6216	1	0.3784
SCF	0.175	0.175	0
Shc1	0	1	1
Shp2	0	1	1
Smac	0.5604	0.1864	-0.374
Src	0.0959	1	0.9041
STAT	0.5599	0.5071	-0.0528
Trx	0.614	0.614	0
Trxt	1	1	0
VEGF	0.175	0.175	0
VEGFR	0.1353	0.1353	0
xIAP	0.4326	0.8529	0.4203
xIAPt	1	1	0
